Season_x,Subtitle,Location,Original tribes,Winner,Runner(s)-up,Runner(s)-up.1,Final vote,Timeslot (ET),Premiered Date,Premiere viewers (in millions),Ended Date,Finale viewers (in millions),Reunion viewers (in millions),TV season,Rank_x,Viewers (in millions),Year,Unnamed: 0,Rank_y,Ep 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Average,Season_y,Rank.1,Average.1
27,Blood vs. Water,"Palaui Island, Santa Ana, Cagayan, Philippines[12]",Two tribes of ten: returning contestants against their loved ones[13],Tyson Apostol,Monica Culpepper,Gervase Peterson,7–1–0,Wednesday 8:00 pm,"September 18, 2013",9.73,"December 15, 2013",10.19[101],7.46[101],2013–14,25[g],11.30,2013,Game Changers,8,8.4,7.6,8.9,8.3,8.0,8.2,7.8,8.1,7.5,7.3,8.0,7.9,,,,8.0,Blood vs. Water,34,7.485714285714286
28,Cagayan,"Palaui Island, Santa Ana, Cagayan, Philippines[12]","Three tribes of six new players divided by primary attribute: ""brawn"" vs. ""brains"" vs. ""beauty""[14]",Tony Vlachos,"Yung ""Woo"" Hwang","Yung ""Woo"" Hwang",8–1,Wednesday 8:00 pm,"February 26, 2014",9.40,"May 21, 2014",9.58[104],7.14[104],2013–14,25[g],11.30,2014,Thailand,31,7.4,7.7,7.5,7.3,7.8,7.8,7.8,7.8,7.4,7.4,6.8,7.7,7.3,,,7.515384615384615,Cagayan,5,8.153846153846153
29,San Juan del Sur,"San Juan del Sur, Rivas, Nicaragua","Nine pairs of new players, each with a pre-existing relationship, divided into two tribes of nine[15]",Natalie Anderson,Jaclyn Schultz,Missy Payne,5–2–1,Wednesday 8:00 pm,"September 24, 2014",9.75,"December 17, 2014",9.79[106],7.31[106],2014–15,31,11.35,2014,Blood vs. Water,34,7.3,7.2,7.4,8.0,7.3,7.0,7.2,7.4,7.2,7.7,7.6,8.6,7.5,7.4,,7.485714285714286,San Juan del Sur,27,7.6
30,Worlds Apart,"San Juan del Sur, Rivas, Nicaragua","Three tribes of six new players divided by social class: ""white collar"" vs. ""blue collar"" vs. ""no collar""[16]",Mike Holloway,Carolyn Rivera &  Will Sims II,Carolyn Rivera &  Will Sims II,6–1–1,Wednesday 8:00 pm,"February 25, 2015",10.04,"May 20, 2015",9.74[109],7.21[109],2014–15,31,11.35,2015,China,20,7.6,7.4,7.5,7.3,7.5,7.9,7.9,8.0,7.6,8.1,7.5,7.9,8.0,,,7.707692307692307,Worlds Apart,15,7.8307692307692305
31,Cambodia,"Koh Rong, Cambodia[17]","Two tribes of ten returning players who only played once before, have not won, and were selected by public vote[18]",Jeremy Collins,Spencer Bledsoe &  Tasha Fox,Spencer Bledsoe &  Tasha Fox,10–0–0,Wednesday 8:00 pm,"September 23, 2015",9.70,"December 16, 2015",9.45[111],6.49[111],2015–16,26,10.99,2015,Borneo,25,8.0,7.4,7.5,7.4,7.3,7.4,7.8,7.5,7.5,7.5,7.6,7.6,8.6,,,7.623076923076921,Cambodia,1,8.507692307692308
34,Game Changers,"Mamanuca Islands, Fiji",Two tribes of ten returning players[21],Sarah Lacina,Brad Culpepper,"Troy ""Troyzan"" Robertson",7–3–0,Wednesday 8:00 pm,"March 8, 2017",7.64,"May 24, 2017",8.48[120],5.84[120],2016–17,24[117],10.32,2017,All-Stars,16,8.3,7.8,8.1,7.7,8.0,7.2,7.7,7.6,7.9,8.3,7.6,7.9,7.4,7.6,7.8,7.793333333333334,Game Changers,8,8.0
35,Heroes vs. Healers vs. Hustlers,"Mamanuca Islands, Fiji","Three tribes of six new players divided by dominant perceived trait: ""heroes"" vs. ""healers"" vs. ""hustlers""[22]",Ben Driebergen,Chrissy Hofbeck,Ryan Ulrich,5–2–1,Wednesday 8:00 pm,"September 27, 2017",8.33,"December 20, 2017",8.70[122],5.97[122],2017–18,25[123],10.28,2017,David vs. Goliath,6,8.1,7.7,7.7,8.2,8.1,7.6,8.0,9.0,8.8,8.1,8.4,8.0,8.1,,,8.138461538461538,Heroes vs. Healers vs. Hustlers,37,7.384615384615385
36,Ghost Island,"Mamanuca Islands, Fiji",Two tribes of ten new players,Wendell Holland,Domenick Abbate,Laurel Johnson,5–5–0 1–0[d],Wednesday 8:00 pm,"February 28, 2018",8.19,"May 23, 2018",7.31[125],4.62[125],2017–18,25[123],10.28,2018,Edge of Extinction,12,7.6,7.5,7.5,7.9,8.2,7.8,8.3,8.6,7.6,7.7,8.3,7.7,7.4,,,7.853846153846154,Ghost Island,38,7.338461538461538
37,David vs. Goliath,"Mamanuca Islands, Fiji","Two tribes of ten new players divided by adversity: ""David"" (underdogs) vs. ""Goliath"" (overachievers)",Nick Wilson,Mike White,Angelina Keeley,7–3–0,Wednesday 8:00 pm,"September 26, 2018",7.83,"December 19, 2018",7.72[127],5.17[127],2018–19,32[128],9.43,2018,Amazon,10,8.0,7.7,7.8,7.7,7.9,7.8,8.4,7.7,7.8,8.0,7.9,8.0,7.8,,,7.884615384615385,David vs. Goliath,6,8.138461538461538
38,Edge of Extinction,"Mamanuca Islands, Fiji","Two tribes of nine, including four returning players[23]",Chris Underwood,Gavin Whitson,Julie Rosenberg,9–4–0,Wednesday 8:00 pm,"February 20, 2019",7.75,"May 15, 2019",7.21[130],4.64[130],2018–19,32[128],9.43,2019,Panama,24,7.6,7.5,7.5,7.4,7.8,7.5,7.5,7.5,7.6,7.8,8.0,7.9,7.6,7.6,,7.628571428571427,Edge of Extinction,12,7.853846153846154
39,Island of the Idols,"Mamanuca Islands, Fiji",Two tribes of ten new players. Past winners Rob Mariano and Sandra Diaz-Twine feature as non-playing mentors,Tommy Sheehan,Dean Kowalski,Noura Salman,8–2–0,Wednesday 8:00 pm,"September 25, 2019",6.29,"December 18, 2019",6.52[132],4.61[132],2019–20,24[133],9.23,2019,Island of the Idols,39,7.5,7.7,7.3,7.8,7.1,8.1,8.0,5.2,7.5,7.7,6.8,7.2,7.2,,,7.315384615384616,Island of the Idols,39,7.315384615384616
40,Winners at War,"Mamanuca Islands, Fiji",Two tribes of ten winners of past Survivor seasons.,Tony Vlachos,Natalie Anderson,Michele Fitzgerald,12–4–0,Wednesday 8:00 pm,"February 12, 2020",6.68,"May 13, 2020",7.94[135],—[h],2019–20,24[133],9.23,2020,Australia,23,7.7,7.6,7.5,7.5,7.6,8.4,7.8,7.3,7.7,7.6,7.7,7.6,7.3,7.7,,7.6428571428571415,Winners at War,2,8.314285714285713
